,STATE,FIRE_SIZE,STATE_SIZE,% of State Area Burned,logScale
0,Alaska,12397552.0,171786220.34,7.22,6.582025138892826
1,Alabama,213406.0,13576526.18,1.57,5.056245805348308
2,Arkansas,84071.0,13773262.58,0.61,4.110873864173311
3,Arizona,2136200.0,29525559.7,7.24,6.584791392385716
4,California,4362014.0,42397152.63,10.29,6.9363427358340495
5,Colorado,623361.0,26960234.63,2.31,5.442417710521793
6,Connecticut,1046.0,1435722.47,0.07,1.9459101490553135
7,District of Columbia,13.0,17700.06,0.07,1.9459101490553135
8,Delaware,1579.0,644720.93,0.24,3.1780538303479458
9,Florida,797872.0,17030438.81,4.68,6.148468295917647
10,Georgia,266581.0,15391015.43,1.73,5.153291594497779
11,Hawaii,15862.0,2831123.82,0.56,4.02535169073515
12,Iowa,23329.0,14574331.45,0.16,2.772588722239781
13,Idaho,5354090.0,21644650.72,24.74,7.813591552952433
14,Illinois,7028.0,14999824.42,0.05,1.6094379124341003
15,Indiana,6527.0,9432192.07,0.07,1.9459101490553135
16,Kansas,212241.0,21309701.56,1.0,4.605170185988092
17,Kentucky,170933.0,10465936.18,1.63,5.093750200806762
18,Louisiana,118403.0,13426482.3,0.88,4.477336814478207
19,Massachusetts,1877.0,2733633.63,0.07,1.9459101490553135
20,Maryland,20320.0,3213330.12,0.63,4.143134726391533
21,Maine,8787.0,9164624.35,0.1,2.302585092994046
22,Michigan,49315.0,25049472.49,0.2,2.995732273553991
23,Minnesota,240412.0,22517167.33,1.07,4.672828834461906
24,Missouri,100413.0,18053416.29,0.56,4.02535169073515
25,Mississippi,265334.0,12543419.21,2.12,5.356586274672012
26,Montana,2243473.0,38083981.6,5.89,6.3784261836515865
27,North Carolina,148068.0,13938994.09,1.06,4.663439094112067
28,North Dakota,144373.0,18311245.61,0.79,4.3694478524670215
29,Nebraska,304386.0,20034616.07,1.52,5.0238805208462765
30,New Hampshire,440.0,2421634.46,0.02,0.6931471805599453
31,New Jersey,14678.0,2258816.7,0.65,4.174387269895637
32,New Mexico,1686207.0,31491675.32,5.35,6.282266746896006
33,Nevada,3618578.0,28635223.89,12.64,7.142036574706803
34,New York,23324.0,14130004.0,0.17,2.833213344056216
35,Ohio,5523.0,11609649.1,0.05,1.6094379124341003
36,Oklahoma,1094451.0,18103631.21,6.05,6.405228458030842
37,Oregon,3321554.0,25480585.76,13.04,7.1731917424865985
38,Pennsylvania,8900.0,11928307.16,0.07,1.9459101490553135
39,Rhode Island,129.0,400167.95,0.03,1.0986122886681098
40,South Carolina,99898.0,8293231.8,1.2,4.787491742782046
41,South Dakota,325599.0,19973170.91,1.63,5.093750200806762
42,Tennessee,94874.0,10915106.93,0.87,4.465908118654584
43,Texas,2173270.0,69562432.38,3.12,5.7430031878094825
44,Utah,1590279.0,21988796.97,7.23,6.583409222158765
45,Virginia,71849.0,11078517.8,0.65,4.174387269895637
46,Vermont,403.0,2490093.34,0.02,0.6931471805599453
47,Washington,1746164.0,18466606.76,9.46,6.852242569051878
48,Wisconsin,14473.0,16963935.38,0.09,2.1972245773362196
49,West Virginia,202293.0,6275507.84,3.22,5.7745515455444085
50,Wyoming,917662.0,25333712.04,3.62,5.8916442118257715
